t_sec,ecg
4.466667,-0.023438215277565844
4.473333,-0.015625476851710562
4.48,0.0
4.486667,0.02346873378704184
4.493333,0.054719687490462965
4.5,0.07815790276802881
4.506667,0.10159611804559465
4.513333,0.11722159489730521
4.52,0.1250343333231605
4.526667,0.1250343333231605
4.533333,0.10159611804559465
4.54,0.07815790276802881
4.546667,0.046906949064607684
4.553333,0.02346873378704184
4.56,3.051850947599719e-05
4.566667,-0.023407696768089847
4.573333,-0.05468916898098697
4.58,-0.1640675069429609
4.586667,-0.023438215277565844
4.593333,0.5468916898098697
4.6,-0.6171758171330912
4.606667,-0.2109134189886166
4.613333,-0.2109134189886166
4.62,-0.7812433240760521
4.626667,0.08597064119388409
4.633333,-0.499984740745262
4.64,-0.5156407361064486
4.646667,-0.5156407361064486
4.653333,-0.35938596758934294
4.66,-0.14844203009125034
4.666667,-0.07812738425855281
4.673333,-0.07812738425855281
4.68,-0.14062929166539506
4.686667,-0.27344584490493484
4.693333,-0.3437604907376324
4.7,-0.3437604907376324
4.706667,-0.2890713217566454
4.713333,-0.18750572222052675
4.72,-0.14844203009125034
4.726667,-0.11719107638782922
4.733333,-0.07812738425855281
4.74,-0.039063692129276406
4.746667,-0.015625476851710562
4.753333,0.0
4.76,0.00784325693533128
4.766667,0.0390942106387524
4.773333,0.07034516434217353
4.78,0.09378337961973937
4.786667,0.10940885647144993
4.793333,0.1250343333231605
4.8,0.15628528702658162
4.806667,0.2031617175817133
4.813333,0.250038148136845
4.82,0.2812891018402661
4.826667,0.2891018402661214
4.833333,0.2969145786919767
4.84,0.2969145786919767
4.846667,0.2969145786919767
4.853333,0.27347636341441084
4.86,0.22659993285927915
4.866667,0.17972350230414746
4.873333,0.14847254860072634
4.88,0.13284707174901578
4.886667,0.11722159489730521
4.893333,0.10159611804559465
4.9,0.08597064119388409
4.906667,0.07034516434217353
4.913333,0.06253242591631825
4.92,0.06253242591631825
4.926667,0.054719687490462965
4.933333,0.046906949064607684
4.94,0.046906949064607684
4.946667,0.046906949064607684
4.953333,0.06253242591631825
4.96,0.07815790276802881
4.966667,0.08597064119388409
4.973333,0.08597064119388409
4.98,0.06253242591631825
4.986667,0.03128147221289712
4.993333,3.051850947599719e-05
5.0,-0.03903317361980041
5.006667,-0.06250190740684225
5.013333,-0.09375286111026337
5.02,-0.1250038148136845
5.026667,-0.14844203009125034
5.033333,-0.14062929166539506
5.04,-0.1250038148136845
5.046667,0.30469679860835597
5.053333,-0.8906216620380261
5.06,-0.4218573564867092
5.066667,-0.4218573564867092
5.073333,-0.8828089236121708
5.08,0.046906949064607684
5.086667,-0.5702993865779595
5.093333,-0.5703299050874355
5.1,-0.5625171666615802
5.106667,-0.4922025208288827
5.113333,-0.39063692129276406
5.12,-0.3828241828669088
5.126667,-0.3750114444410535
5.133333,-0.31250953703421125
5.14,-0.24219489120151372
5.146667,-0.19531846064638203
5.153333,-0.19531846064638203
5.16,-0.19531846064638203
5.166667,-0.17969298379467147
5.173333,-0.11719107638782922
5.18,-0.05468916898098697
5.186667,-0.05468916898098697
5.193333,-0.05468916898098697
5.2,-0.06250190740684225
5.206667,-0.06250190740684225
5.213333,-0.04687643055513169
5.22,-0.023438215277565844
5.226667,0.0
5.233333,0.02346873378704184
5.24,0.046906949064607684
5.246667,0.07034516434217353
5.253333,0.10159611804559465
5.26,0.1250343333231605
5.266667,0.14065981017487106
5.273333,0.14065981017487106
5.28,0.13284707174901578
5.286667,0.14065981017487106
5.293333,0.14847254860072634
5.3,0.15628528702658162
5.306667,0.15628528702658162
5.313333,0.13284707174901578
5.32,0.10159611804559465
5.326667,0.07815790276802881
5.333333,0.054719687490462965
5.34,0.03128147221289712
5.346667,3.051850947599719e-05
5.353333,-0.03122043519394513
5.36,-0.04687643055513169
5.366667,-0.031250953703421125
5.373333,-0.007812738425855281
5.38,0.015625476851710562
5.386667,0.02346873378704184
5.393333,0.02346873378704184
5.4,0.02346873378704184
5.406667,0.02346873378704184
5.413333,0.0390942106387524
5.42,0.046906949064607684
5.426667,0.054719687490462965
5.433333,0.06253242591631825
5.44,0.054719687490462965
5.446667,0.046906949064607684
5.453333,0.02346873378704184
5.46,-0.007782219916379284
5.466667,-0.05468916898098697
5.473333,-0.0859401226844081
5.48,-0.10156559953611866
5.486667,-0.11719107638782922
5.493333,-0.10937833796197394
5.5,-0.09375286111026337
5.506667,0.3750114444410535
5.513333,-0.8437452314828944
5.52,-0.42967009491256447
5.526667,-0.42967009491256447
5.533333,0.9766228217413861
5.54,-0.14059877315591907
5.546667,-0.6718955046235542
5.553333,-0.6718955046235542
5.56,-0.6172063356425672
5.566667,-0.5390789513840144
