sample,t_sec,ecg
sample_0,4.5,0.0078125
sample_0,4.506667,-0.015625
sample_0,4.513333,-0.031280517578125
sample_0,4.52,-0.046905517578125
sample_0,4.526667,-0.070343017578125
sample_0,4.533333,-0.242218017578125
sample_0,4.54,-0.242218017578125
sample_0,4.546667,-0.062530517578125
sample_0,4.553333,0.445281982421875
sample_0,4.56,1.0
sample_0,4.566667,-0.7734375
sample_0,4.573333,-0.7734375
sample_0,4.58,0.734375
sample_0,4.586667,-0.25
sample_0,4.593333,-0.765655517578125
sample_0,4.6,-0.781280517578125
sample_0,4.606667,-0.781280517578125
sample_0,4.613333,-0.585968017578125
sample_0,4.62,-0.335968017578125
sample_0,4.626667,-0.250030517578125
sample_0,4.633333,-0.242218017578125
sample_0,4.64,-0.234405517578125
sample_0,4.646667,-0.187530517578125
sample_0,4.653333,-0.109405517578125
sample_0,4.66,-0.031280517578125
sample_0,4.666667,0.054656982421875
sample_0,4.673333,0.09375
sample_0,4.68,0.1171875
sample_0,4.686667,0.1328125
sample_0,4.693333,0.140625
sample_0,4.7,0.140625
sample_0,4.706667,0.15625
sample_0,4.713333,0.1796875
sample_0,4.72,0.2265625
sample_0,4.726667,0.265625
sample_0,4.733333,0.296875
sample_0,4.74,0.3359375
sample_0,4.746667,0.3828125
sample_0,4.753333,0.4375
sample_0,4.76,0.484375
sample_0,4.766667,0.5234375
sample_0,4.773333,0.546875
sample_0,4.78,0.578125
sample_0,4.786667,0.609375
sample_0,4.793333,0.6484375
sample_0,4.8,0.6875
sample_0,4.806667,0.71875
sample_0,4.813333,0.7421875
sample_0,4.82,0.734375
sample_0,4.826667,0.703125
sample_0,4.833333,0.65625
sample_0,4.84,0.59375
sample_0,4.846667,0.5078125
sample_0,4.853333,0.3984375
sample_0,4.86,0.296875
sample_0,4.866667,0.1875
sample_0,4.873333,0.109375
sample_0,4.88,0.046875
sample_0,4.886667,0.0
sample_0,4.893333,-0.023468017578125
sample_0,4.9,-0.046905517578125
sample_0,4.906667,-0.062530517578125
sample_0,4.913333,-0.070343017578125
sample_0,4.92,-0.078155517578125
sample_0,4.926667,-0.070343017578125
sample_0,4.933333,-0.062530517578125
sample_0,4.94,-0.046905517578125
sample_0,4.946667,-0.031280517578125
sample_0,4.953333,-0.007843017578125
sample_0,4.96,0.015594482421875
sample_0,4.966667,0.0390625
sample_0,4.973333,0.0546875
sample_0,4.98,0.0546875
sample_0,4.986667,0.046875
sample_0,4.993333,0.0390625
sample_0,5.0,0.03125
sample_0,5.006667,0.0078125
sample_0,5.013333,-0.015625
sample_0,5.02,-0.039093017578125
sample_0,5.026667,-0.054718017578125
sample_0,5.033333,-0.054718017578125
sample_0,5.04,-0.054718017578125
sample_0,5.046667,-0.054718017578125
sample_0,5.053333,-0.054718017578125
sample_0,5.06,-0.046905517578125
sample_0,5.066667,-0.046905517578125
sample_0,5.073333,-0.046905517578125
sample_0,5.08,-0.054718017578125
sample_0,5.086667,-0.046905517578125
sample_0,5.093333,-0.039093017578125
sample_0,5.1,-0.015655517578125
sample_0,5.106667,0.015594482421875
sample_0,5.113333,0.0390625
sample_0,5.12,0.0625
sample_0,5.126667,0.0859375
sample_0,5.133333,0.109375
sample_0,5.14,0.125
sample_0,5.146667,0.1328125
sample_0,5.153333,0.1328125
sample_0,5.16,0.1171875
sample_0,5.166667,0.09375
sample_0,5.173333,0.0703125
sample_0,5.18,0.0390625
sample_0,5.186667,0.0078125
sample_0,5.193333,-0.03125
sample_0,5.2,-0.078155517578125
sample_0,5.206667,-0.117218017578125
sample_0,5.213333,-0.148468017578125
sample_0,5.22,-0.164093017578125
sample_0,5.226667,-0.148468017578125
sample_0,5.233333,-0.148468017578125
sample_0,5.24,-0.117218017578125
sample_0,5.246667,0.382781982421875
sample_0,5.253333,-0.875
sample_0,5.26,-0.6015625
sample_0,5.266667,-0.6015625
sample_0,5.273333,0.859375
sample_0,5.28,-0.1875
sample_0,5.286667,-0.906280517578125
sample_0,5.293333,0.867156982421875
sample_0,5.3,0.867156982421875
sample_0,5.306667,-0.984405517578125
sample_0,5.313333,-0.710968017578125
sample_0,5.32,-0.453155517578125
sample_0,5.326667,-0.226593017578125
sample_0,5.333333,-0.062530517578125
sample_0,5.34,0.015594482421875
sample_0,5.346667,0.03125
sample_0,5.353333,0.03125
sample_0,5.36,0.015625
sample_0,5.366667,0.0078125
sample_0,5.373333,0.0
sample_0,5.38,-3.0517578125e-05
sample_0,5.386667,0.015594482421875
sample_0,5.393333,0.0390625
sample_0,5.4,0.0625
sample_0,5.406667,0.09375
sample_0,5.413333,0.125
sample_0,5.42,0.15625
sample_0,5.426667,0.171875
sample_0,5.433333,0.1953125
sample_0,5.44,0.21875
sample_0,5.446667,0.2421875
sample_0,5.453333,0.2890625
sample_0,5.46,0.3359375
sample_0,5.466667,0.3828125
sample_0,5.473333,0.4375
sample_0,5.48,0.5
sample_0,5.486667,0.5703125
sample_0,5.493333,0.6328125
sample_0,5.5,0.6796875
sample_0,5.506667,0.6875
sample_0,5.513333,0.6796875
