time,LSB
14.826667,-2049.000000
14.833333,-2305.000000
14.840000,-2561.000000
14.846667,-2817.000000
14.853333,-3073.000000
14.860000,-2817.000000
14.866667,-2305.000000
14.873333,-2049.000000
14.880000,-1793.000000
14.886667,-1537.000000
14.893333,-1537.000000
14.900000,-1025.000000
14.906667,-257.000000
14.913333,512.000000
14.920000,1280.000000
14.926667,1792.000000
14.933333,2304.000000
14.940000,2816.000000
14.946667,3072.000000
14.953333,2816.000000
14.960000,2304.000000
14.966667,1280.000000
14.973333,256.000000
14.980000,-768.000000
14.986667,-1537.000000
14.993333,-2049.000000
15.000000,-2561.000000
15.006667,-2817.000000
15.013333,-3073.000000
15.020000,-3073.000000
15.026667,-769.000000
15.033333,31999.000000
15.040000,-31232.000000
15.046667,-31232.000000
15.053333,15104.000000
15.060000,-19712.000000
15.066667,29951.000000
15.073333,29951.000000
15.080000,-30977.000000
15.086667,-19969.000000
15.093333,-9985.000000
15.100000,-6401.000000
15.106667,-5633.000000
15.113333,-5377.000000
15.120000,-4353.000000
15.126667,-1793.000000
15.133333,2559.000000
15.140000,4608.000000
15.146667,4864.000000
15.153333,4608.000000
15.160000,4352.000000
15.166667,4352.000000
15.173333,4608.000000
15.180000,5120.000000
15.186667,6144.000000
15.193333,7168.000000
15.200000,7936.000000
15.206667,8704.000000
15.213333,9216.000000
15.220000,11008.000000
15.226667,13056.000000
15.233333,15104.000000
15.240000,17152.000000
15.246667,18944.000000
15.253333,20480.000000
15.260000,22016.000000
15.266667,23296.000000
15.273333,24064.000000
15.280000,23552.000000
15.286667,22272.000000
15.293333,20736.000000
15.300000,18688.000000
15.306667,16128.000000
15.313333,13312.000000
15.320000,10240.000000
15.326667,7424.000000
15.333333,5376.000000
15.340000,3584.000000
15.346667,2048.000000
15.353333,512.000000
15.360000,-512.000000
15.366667,-1281.000000
15.373333,-1793.000000
15.380000,-2305.000000
15.386667,-2561.000000
15.393333,-2817.000000
15.400000,-2817.000000
15.406667,-2305.000000
15.413333,-1793.000000
15.420000,-1025.000000
15.426667,-513.000000
15.433333,-1.000000
15.440000,0.000000
15.446667,0.000000
15.453333,-512.000000
15.460000,-513.000000
15.466667,-769.000000
15.473333,-1025.000000
15.480000,-1281.000000
15.486667,-1537.000000
15.493333,-1537.000000
15.500000,-1537.000000
15.506667,-1537.000000
15.513333,-1537.000000
15.520000,-1793.000000
15.526667,-2049.000000
15.533333,-2049.000000
15.540000,-2049.000000
15.546667,-1793.000000
15.553333,-1281.000000
15.560000,-769.000000
15.566667,-1.000000
15.573333,1024.000000
15.580000,1792.000000
15.586667,2560.000000
15.593333,3584.000000
15.600000,4096.000000
15.606667,4352.000000
15.613333,4096.000000
15.620000,3328.000000
15.626667,2560.000000
15.633333,1536.000000
15.640000,768.000000
15.646667,-256.000000
15.653333,-1024.000000
15.660000,-1793.000000
15.666667,-2305.000000
15.673333,-2817.000000
15.680000,-3073.000000
15.686667,-3329.000000
15.693333,9983.000000
15.700000,31488.000000
15.706667,-25856.000000
15.713333,-25856.000000
15.720000,21504.000000
15.726667,-12800.000000
15.733333,-29441.000000
15.740000,-30465.000000
15.746667,-30465.000000
15.753333,-25089.000000
15.760000,-16385.000000
15.766667,-9985.000000
15.773333,-5633.000000
15.780000,-2817.000000
15.786667,-1281.000000
15.793333,-513.000000
15.800000,-513.000000
15.806667,-513.000000
15.813333,511.000000
15.820000,2816.000000
15.826667,6400.000000
15.833333,7424.000000
15.840000,7680.000000
15.846667,7936.000000
15.853333,8192.000000
15.860000,8192.000000
15.866667,8704.000000
15.873333,9216.000000
15.880000,10496.000000
15.886667,11520.000000
15.893333,12544.000000
15.900000,14080.000000
15.906667,15872.000000
15.913333,17664.000000
15.920000,19200.000000
15.926667,20224.000000
15.933333,20992.000000
15.940000,21248.000000
15.946667,21248.000000
15.953333,20480.000000
15.960000,18944.000000
15.966667,16896.000000
15.973333,14848.000000
15.980000,12800.000000
15.986667,11008.000000
15.993333,8704.000000
16.000000,6144.000000
16.006667,3840.000000
16.013333,1792.000000
16.020000,256.000000
16.026667,-1024.000000
16.033333,-2305.000000
16.040000,-3329.000000
16.046667,-3585.000000
16.053333,-3073.000000
16.060000,-2561.000000
16.066667,-1793.000000
16.073333,-1281.000000
16.080000,-769.000000
16.086667,-257.000000
16.093333,-256.000000
16.100000,-512.000000
16.106667,-1025.000000
16.113333,-1281.000000
16.120000,-1281.000000
16.126667,-1281.000000
16.133333,-1537.000000
16.140000,-1537.000000
